driverId,week,hours-logged,miles-logged
100,9,73,1900
41,44,58,3100
83,48,53,3700
45,17,51,200
44,48,69,500
99,39,64,1800
38,51,70,2100
76,21,51,3600
54,42,68,3100
42,50,65,2400
72,16,50,2500
23,19,78,3300
25,39,66,1300
22,12,74,2400
99,5,67,3000
102,45,53,100
79,34,53,3200
103,5,60,3700
22,3,67,3000
29,7,71,2300
68,16,55,0
73,17,68,3300
58,16,59,2100
23,8,50,2800
58,20,69,3500
43,7,69,2300
103,34,75,1400
80,11,72,300
11,27,71,3300
31,8,74,700
95,35,76,1800
44,50,65,2700
91,2,71,2200
73,10,54,1300
68,48,72,3600
107,15,60,700
94,28,55,2000
88,38,69,3700
74,33,79,2000
90,36,71,2900
102,14,53,1000
10,32,75,2400
59,14,80,0
35,39,71,700
70,16,59,3200
34,25,62,2800
107,4,50,200
39,21,57,2400
97,47,74,2300
30,36,50,2500
39,16,72,800
29,9,72,3600
10,16,67,3500
39,22,67,3400
61,30,61,0
84,45,69,200
96,19,69,1000
50,32,61,1300
46,36,57,0
11,8,51,600
68,17,57,2400
88,39,61,3800
30,13,71,0
35,21,52,1400
24,6,79,2700
52,4,53,2400
58,6,56,1000
93,24,73,3000
25,34,66,1500
14,41,57,1600
60,11,73,3900
51,4,72,1500
65,23,55,3200
31,42,72,3100
76,52,63,1700
93,48,52,400
95,5,68,1400
52,31,68,700
84,28,67,1500
91,45,72,2300
84,35,76,0
17,49,57,3700
95,52,51,1000
15,14,54,0
97,37,66,2600
90,2,55,600
75,17,50,1700
91,22,74,300
86,25,60,3900
49,6,75,3600
68,18,60,1700
71,2,67,1900
14,5,80,2300
60,14,64,2300
63,14,79,2500
26,12,78,2600
18,14,74,3000
86,43,61,800
80,45,78,1400
28,25,58,1100
105,26,63,900
41,27,56,400
69,16,70,4000
60,52,79,3900
34,51,62,2900
40,3,59,2000
71,36,75,2900
30,36,70,0
47,25,53,1300
52,42,71,2100
14,24,54,1600
81,2,55,1200
46,25,55,2200
94,19,69,2300
23,12,58,2900
106,19,68,1900
16,46,68,2900
107,45,50,1700
62,19,58,500
90,15,71,2100
22,38,72,2900
12,37,51,1400
19,49,56,3800
58,41,57,300
108,18,55,3500
91,52,65,2800
32,8,56,500
85,48,55,700
14,14,54,600
88,25,66,2300
19,12,76,3200
12,29,77,1100
105,32,78,3600
29,44,67,3100
100,28,80,2900
104,21,57,3700
97,46,57,2700
98,7,55,0
13,8,51,2600
93,9,75,2900
71,27,57,0
20,30,61,1700
26,41,56,3400
84,13,79,2700
103,15,71,1300
56,10,56,3700
57,25,51,3300
